pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS,hz_score,temp_score,retention_score,orbit_score,stellar_score
14 Her b,14 Her,12.6,2.0831845279586703,0.373,277.86,2.774,5338.0,0.91,3.9,0.38756679895901086,0.0010700036425959798,0.9599956447493242,3.639979347383691e-08,0.4742598029280199,0.9976739892401054
24 Sex b,24 Sex,13.4,0.8919980393051105,0.09,606.2,1.333,5098.0,1.54,2.7,0.33857214428939464,0.20524963632279208,0.3400749717406862,3.877639856888131e-10,0.835270211411272,0.9818900742256587
24 Sex c,24 Sex,13.9,0.4440445900756395,0.29,623.266,2.08,5098.0,1.54,2.7,0.36416806577705635,0.36620245078934,0.3272734556726196,1.7631789711552725e-11,0.559898366565402,0.9818900742256587
47 UMa b,47 UMa,13.2,1.0715836162801904,0.032,257.91,2.1,5872.0,1.06,6.48,0.7218778684330605,0.7984401851744565,0.9993386484768884,1.1817428382400028e-09,0.9380049995307295,0.9878864131335705
47 UMa c,47 UMa,14.2,0.2844267797311083,0.098,227.75,3.6000000000000005,5872.0,1.06,6.48,0.42238434804595837,0.01567140391077669,0.9436379675818694,2.7172267527373336e-12,0.8220122346781865,0.9878864131335705
51 Peg b,51 Peg,14.3,0.2429461786103894,0.013,1252.42,0.0527,5758.0,1.03,10.0,0.2116109448735089,0.06433375948668325,0.022325115429693353,1.4401821164275701e-12,0.9743350896087494,0.8607934123458345
55 Cnc B b,55 Cnc B,1.69,1.6054298910365616,0.0,422.68,0.044,3286.0,0.26,10.0,0.5455654480064368,0.3231387263325834,0.45794256779430514,0.7892817328555587,1.0,0.6012490527034464
55 Cnc B c,55 Cnc B,2.16,1.358409157630355,0.0,305.03000000000003,0.13,3286.0,0.26,10.0,0.7997286489002148,0.9558343349794352,0.822384735549551,0.49732771249840035,1.0,0.6012490527034464
55 Cnc b,55 Cnc,13.9,0.4317824164255378,0.0029,700.0,0.118,5198.0,1.015,10.0,0.28717228195418765,0.09875593473010763,0.2692876053769712,1.7032498111338946e-11,0.9942167875284308,0.8586412469815763
55 Cnc c,55 Cnc,8.51,0.3960879462955674,0.088,517.363,0.247,5198.0,1.015,10.0,0.3336071827040012,0.1799381618354913,0.4032274416721949,0.0004802130583274519,0.838617983337074,0.8586412469815763
55 Cnc e,55 Cnc,1.875,2.0360119837525,0.05,1958.0,0.01544,5172.0,0.905,5.5,0.3810382579059321,0.05748770240615395,5.7928544080741064e-05,0.8568214973968599,0.9048374180359595,0.990550386447901
55 Cnc f,55 Cnc,7.59,0.4466070514393395,0.063,336.2,0.8019999999999999,5198.0,1.015,10.0,0.6227127266421107,0.8535598895950708,0.5974333795822597,0.0029140550588591203,0.8816148467834161,0.8586412469815763
6 Lyn b,6 Lyn,13.4,0.8628899551470399,0.042,403.73,2.0280000000000005,4941.0,1.32,2.353,0.43913506476900155,0.3806407824085681,0.4666041170736977,3.6891434749560695e-10,0.9194312560951247,0.9731663597428295
61 Vir b,61 Vir,2.11,1.3812818192963463,0.12,1090.0790000000002,0.050201,5577.0,0.942,8.96,0.31523957411075476,0.06745163026248886,0.056563713347018436,0.5264022829694308,0.7866278610665535,0.9354733248158755
61 Vir c,61 Vir,4.46,0.7561219797213337,0.14,533.8399999999999,0.2174999999999999,5577.0,0.942,8.96,0.3363557335779871,0.1417818667958074,0.3921458721580883,0.09784952766386137,0.7557837414557255,0.9354733248158755
61 Vir d,61 Vir,5.11,0.664233170395303,0.35,362.2,0.476,5577.0,0.942,8.96,0.4004595138143041,0.3532793807928002,0.48236259278207316,0.06507609740288621,0.4965853037914095,0.9354733248158755
7 CMa b,7 CMa,13.4,0.8501509293696101,0.06,354.12,1.758,4826.0,1.34,4.3,0.42522742919659007,0.3404450005515158,0.48488205627336023,3.6083593112709e-10,0.8869204367171575,0.9615912119133658
7 CMa c,7 CMa,13.9,0.4485245975686113,0.08,366.62,2.153,4826.0,1.34,4.3,0.46128985455003296,0.4562561010352436,0.48090687638467783,1.785258135373674e-11,0.8521437889662113,0.9615912119133658
70 Vir b,70 Vir,12.6,2.020222182019865,0.3988,425.466,0.481,5495.0,1.09,7.77,0.31717923358292943,0.16568425690581692,0.4565963749364011,3.639979347383691e-08,0.45040864873439496,0.9999977777839506
