pl_name,hostname,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_teff,st_lum,st_rad,st_mass,st_age
11 Com b,11 Com,12.2,4914.89848585,14.9,0.238,,,323.21,1.178,4874.0,1.97823,13.76,2.09,
11 UMi b,11 UMi,12.3,4684.8142,13.8,0.08,,,516.21997,1.53,4213.0,2.42951,29.79,2.78,1.56
14 And b,14 And,13.1,1131.15130051,2.76,0.0,,,186.76,0.775,4888.0,1.83992,11.55,1.78,4.5
14 Her b,14 Her,12.6,2559.47216157,7.03,0.373,,,1765.0389,2.774,5338.0,-0.15273,0.93,0.91,3.9
16 Cyg B b,16 Cyg B,13.5,565.7374,1.26,0.68,,,798.5,1.66,5750.0,0.09729,1.13,1.08,7.4
17 Sco b,17 Sco,12.9,1373.01871824,3.51,0.06,,,578.38,1.45,4157.0,2.25435,25.92,1.22,5.13
18 Del b,18 Del,12.5,2926.24614325,8.23,0.024,,,982.85,2.476,4980.0,1.63367,8.8,2.1,1.1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,18.647,3000.0,2.54,,1700.0,,,330.0,4060.0,-0.37,1.31316,0.85,0.005
24 Boo b,24 Boo,13.9,280.64248338,0.574,0.032,,,30.33,0.194,4816.0,1.87691,12.19,1.05,6.92
24 Sex b,24 Sex,13.4,632.46,1.44,0.09,,,452.8,1.333,5098.0,1.164,4.9,1.54,2.7
24 Sex c,24 Sex,13.9,273.32,0.559,0.29,,,883.0,2.08,5098.0,1.164,4.9,1.54,2.7
2M0437 b,2MASS J04372171+2651014,13.0,1271.313628,3.18,,1450.0,,,118.0,3100.0,-1.16368,0.84,0.17,0.0025
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,12.3,4131.79,12.2,,,,,84.0,,,,0.19,0.03
2MASS J01225093-2439505 b,2MASS J01225093-2439505,11.209,7786.5,30.4,,1600.0,,,52.0,3530.0,-1.72,0.36645,0.4,0.12
2MASS J02192210-3925225 b,2MASS J02192210-3925225,16.14096,4417.837,5.77,,,,,156.0,3064.0,-2.23,0.281,0.108,0.035
2MASS J0249-0557 c,2MASS J0249-0557 A,12.4,3686.8095212,10.6,,,,,1950.0,2859.0,-2.59,0.315959,0.046,0.022
2MASS J03590986+2009361 b,2MASS J03590986+2009361,12.2,5720.911326,17.3,,2369.0,,,572.0,2943.0,-2.24602,0.289776,0.264996,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,12.6,2383.6,6.55,,,,,15.0,2936.0,-2.44363,0.231916,0.019,0.001
2MASS J11011926-7732383 b,2MASS J11011926-7732383,11.9,8899.195396,29.0,,2677.0,,,266.0,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,12.1,6356.56814,19.7,,2506.0,,,587.0,3021.0,-1.56774,0.600455,0.58846,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,12.9,1589.15,4.07,,1250.0,,,55.0,2825.0,-2.56086,0.21887,0.024,0.008
2MASS J19383260+4603591 b,2MASS J19383260+4603591,13.4,603.877,1.38,0.33,,,406.0,0.92,29564.0,1.45,0.203,0.48,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,12.4,3813.940884,11.0,,1616.0,,,7493.0,3592.0,-1.16815,0.672832,0.643977,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,12.3,3972.875,11.7,,,,,230.0,4045.0,-1.02143,0.641152,0.6,0.12
2MASS J22501512+2325342 b,2MASS J22501512+2325342,11.9,9534.85221,31.1,,1600.0,,,518.0,3352.0,-1.66196,0.437589,0.433173,0.15
4 UMa b,4 UMa,12.6,2511.48007211,6.9,0.453,,,270.27,0.877,4415.0,2.06236,18.11,1.234,4.604
47 UMa b,47 UMa,13.2,804.08,1.92,0.032,,,1078.0,2.1,5872.0,0.1978,1.21334,1.06,6.48
47 UMa c,47 UMa,14.2,171.621,0.329,0.098,,,2391.0,3.6,5872.0,0.1978,1.21334,1.06,6.48
47 UMa d,47 UMa,13.5,521.22,1.16,0.16,,,14002.0,11.6,5872.0,0.1978,1.21334,1.06,6.48
51 Eri b,51 Eri,,3464.3296363,,0.57,807.0,,9100.0,10.4,7422.0,0.7574,1.45,1.75,0.0232
51 Peg b,51 Peg,14.3,146.2018,0.275,0.013,,,4.230785,0.0527,5758.0,0.13631,1.17561,1.03,10.0
55 Cnc B b,55 Cnc B,1.69,3.5,3.98,0.0,,,6.7994,0.044,3286.0,-2.10811,0.274,0.26,10.0
55 Cnc B c,55 Cnc B,2.16,5.3,2.89,0.0,,,33.747,0.13,3286.0,-2.10811,0.274,0.26,10.0
55 Cnc b,55 Cnc,13.9,263.9785,0.54,0.0029,700.0,,14.651552,0.118,5198.0,-0.19695,0.98,1.015,10.0
55 Cnc c,55 Cnc,8.51,54.4738,0.486,0.088,,,44.3936,0.247,5198.0,-0.19695,0.98,1.015,10.0
55 Cnc d,55 Cnc,13.0,1232.493,3.08,0.0913,,,4799.0,5.6,5198.0,-0.19695,0.98,1.015,10.0
55 Cnc e,55 Cnc,1.875,7.99,6.66,0.05,1958.0,2657.8322,0.7365474,0.01544,5172.0,-0.19695,0.943,0.905,5.5
55 Cnc f,55 Cnc,7.59,44.812,0.563,0.063,,,260.58,0.802,5198.0,-0.19695,0.98,1.015,10.0
6 Lyn b,6 Lyn,13.4,597.83523357,1.37,0.042,,,919.86,2.028,4941.0,1.1186,4.94,1.32,2.353
61 Vir b,61 Vir,2.11,5.1,2.98,0.12,,,4.215,0.050201,5577.0,-0.095,0.963,0.942,8.96
61 Vir c,61 Vir,4.46,18.2,1.13,0.14,,,38.021,0.2175,5577.0,-0.095,0.963,0.942,8.96
61 Vir d,61 Vir,5.11,22.9,0.943,0.35,,,123.01,0.476,5577.0,-0.095,0.963,0.942,8.96
7 CMa b,7 CMa,13.4,587.9855,1.34,0.06,,,735.1,1.758,4826.0,1.06258,4.87,1.34,4.3
7 CMa c,7 CMa,13.9,276.5121,0.566,0.08,,,996.0,2.153,4826.0,1.06258,4.87,1.34,4.3
70 Vir b,70 Vir,12.6,2380.45,6.54,0.3988,,,116.688,0.481,5495.0,0.4513,1.89,1.09,7.77
75 Cet b,75 Cet,13.3,787.89662095,1.84,0.093,,,696.62,1.912,4809.0,1.7145,10.38,1.92,
